"decision_point_id","route_id","decision_name","decision_maker","decision_type","note","source_id","last_verified"
"DP-001","CHL-ENV-SEIA","Resolución de Calificación Ambiental","Autoridad ambiental competente","approve_or_reject","La RCA califica ambientalmente el proyecto.","SRC-SEA-PROCESS","2026-09-19"
"DP-002","CHL-URB-BUILD","Permiso de edificación","Dirección de Obras Municipales competente","grant_or_deny","La DOM resuelve la solicitud cuando el permiso es exigible.","SRC-MINVU-DOM","2026-09-19"
"DP-003","CHL-ELEC-GRID","Hitos de conexión y puesta en servicio","Coordinador Eléctrico Nacional","technical_acceptance","No equivale a una autorización ambiental o municipal.","SRC-CEN-CONNECTION","2026-09-19"
"DP-004","CHL-TEL-AUTH","Concesión, permiso o licencia","Autoridad sectorial competente","grant_modify_or_deny","La forma del acto depende del servicio de telecomunicaciones.","SRC-SUBTEL-CONC","2026-09-19"
"DP-005","CHL-WATER-RIGHT","Resolución sobre derecho de aprovechamiento","Dirección General de Aguas","grant_or_deny","Aplican reglas del Código de Aguas y condiciones de la fuente.","SRC-DGA-TRAMITES","2026-09-19"
"DP-006","CHL-MIN-PROJ","Aprobación sectorial minera","SERNAGEOMIN","approve_condition_or_reject","Depende del trámite minero aplicable.","SRC-SNGM-PROJ","2026-09-19"
"DP-007","CHL-PROCURE","Adjudicación/contratación","Entidad compradora","award_or_close","ChileCompra administra la plataforma; no reemplaza la decisión de la entidad compradora.","SRC-CHILECOMPRA-MP","2026-09-19"
"DP-008","CHL-MERGER","Decisión de control de concentración","Fiscalía Nacional Económica","approve_condition_or_prohibit","Aplica al procedimiento de control regulado por DL 211.","SRC-FNE-MERGER","2026-09-19"
"DP-009","CHL-CYBER-OIV","Instrucciones y medidas regulatorias","Agencia Nacional de Ciberseguridad","regulatory_instruction","Aplicable a sujetos regulados bajo Ley N°21.663.","SRC-ANCI-OIV","2026-09-19"
"DP-010","CHL-HEALTH-FOOD","Autorización sanitaria de funcionamiento","SEREMI de Salud competente","grant_or_deny","Aplica a instalaciones de alimentos comprendidas en el trámite.","SRC-SALUD-FOOD","2026-09-19"
"DP-011","CHL-HERITAGE-ARCH","Autorización para prospección/excavación","Consejo de Monumentos Nacionales","grant_or_deny","La intervención requiere autorización previa cuando entra en el ámbito del trámite.","SRC-CMN-ARCH","2026-09-19"
"DP-012","CHL-COAST-CONCESSION","Acto sobre concesión marítima","Autoridad competente en concesiones marítimas","grant_modify_renew_or_deny","La decisión depende del tipo de solicitud.","SRC-SSFFAA-CCMM","2026-09-19"
"DP-013","CHL-MOP-CONCESSION","Adjudicación de concesión de obra pública","Ministerio de Obras Públicas","award_or_close","La adjudicación se realiza mediante licitación pública bajo el marco de concesiones.","SRC-MOP-CONCESSIONS","2026-09-19"
"DP-014","CHL-FOREST-NATIVE","Resolución de plan de manejo","Corporación Nacional Forestal (CONAF)","approve_or_reject","CONAF emite resolución sobre la solicitud.","SRC-CONAF-NATIVE","2026-09-19"
"DP-015","CHL-AQUA-TECH","Aprobación de proyecto técnico acuícola","Subsecretaría de Pesca y Acuicultura","approve_or_reject","Corresponde a la aprobación técnica sectorial del proyecto.","SRC-SUBPESCA-AQUA","2026-09-19"
"DP-016","CHL-CONSUMER-PVC","Cierre del Procedimiento Voluntario Colectivo","SERNAC / participantes","agreement_or_termination","El PVC puede concluir con solución acordada o término sin acuerdo.","SRC-SERNAC-PVC","2026-09-19"
"DP-017","CHL-ENV-PAS","Pronunciamiento sobre contenido ambiental del PAS","OAECA dentro del SEIA","environmental_sectoral_opinion","En PAS mixtos, los componentes sectoriales no ambientales pueden requerir una etapa posterior fuera del SEIA.","SRC-SEA-PAS","2026-09-19"
