"authority_id","institution_id","institution_name","position","person_name","appointment_status","valid_from","source_url","last_verified","notes"
"AUTH-001","CL-SP-136","Servicio de Evaluación Ambiental","Director Ejecutivo","Arturo Farías Alcaíno","titular","2026-04-06","https://www.sea.gob.cl/sea/organigrama/director-ejecutivo","2026-09-19","Nombrado en abril de 2026; página oficial vigente del SEA."
"AUTH-002","CL-SP-148","Dirección General de Aguas","Director General de Aguas","Gabriel Mancilla Escobar","subrogante","","https://dga.mop.gob.cl/directorio-de-autoridades/","2026-09-19","El directorio oficial lo identifica como Director General de Aguas (s)."
"AUTH-003","CL-SP-130","Servicio Nacional de Geología y Minería","Director Nacional","Mauricio Lorca Miranda","subrogante","","https://www.sernageomin.cl/autoridades/","2026-09-19","La página oficial de autoridades lo identifica como Director Nacional (s)."
"AUTH-004","CL-SP-034","Dirección de Compras y Contratación Pública","Director","Cristián Céspedes Viñuela","subrogante","","https://www.chilecompra.cl/que-es-chilecompra/","2026-09-19","ChileCompra lo identifica como actual Director (S)."
"AUTH-005","CL-SP-039","Fiscalía Nacional Económica","Fiscal Nacional Económico","Jorge Grunberg","titular","","https://www.fne.gob.cl/","2026-09-19","La portada oficial 2026 identifica a Jorge Grunberg como Fiscal Nacional Económico."
"AUTH-006","CL-SP-006","Agencia de Promoción de la Inversión Extranjera","Director de InvestChile","Juan Pablo Candia","subrogante","","https://www.investchile.gob.cl/es/nosotros/","2026-09-19","La página oficial lo identifica como Director (S) de InvestChile."
"AUTH-007","CL-SUP-ANCI","Agencia Nacional de Ciberseguridad","Directora Nacional","Michelle Bordachar Benoit","subrogante","2026-01-01","https://anci.gob.cl/quienes-somos/directora/","2026-09-19","Ejerce subrogantemente desde el 1 de enero de 2026."
"AUTH-008","CL-SUP-CMF","Comisión para el Mercado Financiero","Presidenta","Catherine Tornel","titular","2026-03-11","https://cmfchile.cl/portal/principal/623/w4-channel.html","2026-09-19","Presidenta vigente; asumió el 11 de marzo de 2026."
"AUTH-009","CL-SP-040","Servicio Nacional del Consumidor","Director Nacional","Andrés Herrera Troncoso","titular","2022-10-17","https://sernac.cl/portal/604/w3-article-67648.html","2026-09-19","Nombramiento ADP; documentos institucionales 2026 lo siguen identificando como Director Nacional."
"AUTH-010","CL-SUB-PESCA","Subsecretaría de Pesca y Acuicultura","Subsecretario de Pesca y Acuicultura","Osvaldo Urrutia Silva","titular","2026-03-12","https://subpesca.cl/portal/sitio/Subsecretaria/Subsecretario/","2026-09-19","Página oficial vigente de la Subsecretaría."
"AUTH-011","CL-SUB-FFAA","Subsecretaría para las Fuerzas Armadas","Subsecretario para las Fuerzas Armadas","Christian Bolívar Romero","titular","","https://www.ssffaa.cl/wp-content/uploads/2026/05/Organigrama-13-03-2026-CON-FOTOS.pdf","2026-09-19","Organigrama oficial 2026 identifica al titular del cargo."
"AUTH-012","","Dirección General de Concesiones de Obras Públicas","Directora General","Lorena Herrera Omegna","titular","2026-07-23","https://concesiones.mop.gob.cl/autoridades-y-organigrama/","2026-09-19","Nombrada Directora General el 23 de julio de 2026."
"AUTH-013","","Corporación Nacional Forestal","Directora Ejecutiva","Aída Baldini Urrutia","titular","2026-03-13","https://www.conaf.cl/quienes-somos/conoce-a-nuestras-autoridades/","2026-09-19","Página oficial vigente de autoridades de CONAF."
