"route_id","route_name","policy_area","route_nature","trigger","primary_actor","primary_institution_id","output","scope_note","source_id"
"CHL-ENV-SEIA","Evaluación ambiental de proyectos (SEIA)","Medio ambiente","statutory_process","Proyecto o modificación que deba ingresar al SEIA conforme a la Ley N°19.300 y su reglamento","Servicio de Evaluación Ambiental","CL-SP-136","Resolución de Calificación Ambiental (RCA)","La vía DIA/EIA, participación y autoridad resolutiva dependen de las características y alcance territorial del proyecto.","SRC-SEA-PROCESS"
"CHL-URB-BUILD","Permiso de edificación y actuaciones urbanísticas","Urbanismo y construcción","sectoral_authorization","Obra de urbanización o edificación que requiera permiso conforme a LGUC/OGUC","Dirección de Obras Municipales competente","","Permiso o autorización municipal","MINVU fija el marco normativo y formularios; la decisión individual corresponde a la DOM competente.","SRC-MINVU-DOM"
"CHL-ELEC-GRID","Conexión de proyecto al Sistema Eléctrico Nacional","Energía","technical_connection_process","Nueva instalación o modificación que requiera interconexión al SEN","Coordinador Eléctrico Nacional","","Proceso de conexión, puesta en servicio y cierre conforme a clasificación aplicable","El detalle depende del tipo de proyecto (NI, MR, MNR, PMGD u otro) y de la instalación de conexión.","SRC-CEN-CONNECTION"
"CHL-ELEC-SEC","Declaración de instalaciones eléctricas","Energía","sectoral_compliance","Instalación eléctrica sujeta a declaración ante SEC","Superintendencia de Electricidad y Combustibles","CL-SP-135","Declaración/registro aplicable (por ejemplo TE1)","El trámite aplicable depende de la instalación; TE1 corresponde a instalaciones eléctricas interiores.","SRC-SEC-DECL"
"CHL-TEL-AUTH","Concesiones, permisos y licencias de telecomunicaciones","Telecomunicaciones","sectoral_authorization","Operación de servicio de telecomunicaciones que requiera concesión, permiso o licencia","Subsecretaría de Telecomunicaciones","CL-SUB-SUBTEL","Autorización sectorial correspondiente","La forma jurídica y autoridad formal varían según el servicio y la Ley General de Telecomunicaciones.","SRC-SUBTEL-CONC"
"CHL-WATER-RIGHT","Derechos de aprovechamiento de aguas","Recursos hídricos","sectoral_authorization","Solicitud de constitución de derecho de aprovechamiento de aguas superficiales o subterráneas","Dirección General de Aguas","CL-SP-148","Resolución sobre solicitud de derecho de aprovechamiento","La vía y antecedentes cambian según fuente superficial/subterránea y condiciones territoriales.","SRC-DGA-TRAMITES"
"CHL-WATER-WORKS","Obras hidráulicas y modificaciones de cauce","Recursos hídricos","sectoral_authorization","Proyecto sujeto a aprobación de obras hidráulicas, modificación de cauces o bocatomas","Dirección General de Aguas","CL-SP-148","Aprobación sectorial correspondiente","Incluye, según corresponda, obras del artículo 294, modificaciones de cauces y bocatomas.","SRC-DGA-TRAMITES"
"CHL-MIN-PROJ","Aprobación sectorial de proyectos mineros","Minería","sectoral_authorization","Proyecto o faena minera sujeto al Reglamento de Seguridad Minera y normativa sectorial","Servicio Nacional de Geología y Minería","CL-SP-130","Aprobación, autorización o registro sectorial aplicable","Puede incluir proyecto minero, declaración minera, relaves, seguridad y plan de cierre; la evaluación ambiental es una ruta separada cuando corresponda.","SRC-SNGM-PROJ"
"CHL-PROCURE","Compra pública a través de Mercado Público","Compras públicas","procurement_process","Adquisición de bienes o servicios por entidad sometida a Ley N°19.886","Entidad compradora","","Adjudicación/contrato u otro resultado del procedimiento","ChileCompra administra Mercado Público y el sistema; la decisión de compra corresponde a la entidad contratante.","SRC-CHILECOMPRA-MP"
"CHL-MERGER","Control de operaciones de concentración","Libre competencia","statutory_review","Operación de concentración con efectos en Chile que cumpla requisitos y, para obligatoriedad, umbrales legales","Fiscalía Nacional Económica","CL-SP-039","Aprobación, aprobación con medidas o prohibición","Existe notificación obligatoria, voluntaria y control de oficio según el caso.","SRC-FNE-MERGER"
"CHL-FDI-SUPPORT","Facilitación de inversión extranjera","Inversión extranjera","facilitation","Inversionista extranjero que evalúa, instala o expande un proyecto en Chile","InvestChile","CL-SP-006","Información, facilitación, contactos y apoyo de instalación/expansión","No es una autorización general para invertir; es una ruta de promoción y facilitación.","SRC-INVESTCHILE"
"CHL-CYBER-OIV","Cumplimiento de ciberseguridad para OIV","Ciberseguridad","regulatory_compliance","Institución calificada como Operador de Importancia Vital bajo Ley N°21.663","Agencia Nacional de Ciberseguridad","CL-SUP-ANCI","Cumplimiento de obligaciones, designación de delegado y gestión/reporte de incidentes","Aplica al universo de OIV y obligaciones específicas de la Ley Marco e instrucciones ANCI.","SRC-ANCI-OIV"
"CHL-FIN-SUP","Supervisión y regulación del mercado financiero","Mercado financiero","regulatory_supervision","Entidad o actividad sujeta a fiscalización de la CMF","Comisión para el Mercado Financiero","CL-SUP-CMF","Supervisión, normativa, autorizaciones específicas o sanciones según régimen aplicable","No existe un único permiso transversal; esta ruta identifica el regulador y los tipos de intervención.","SRC-CMF-FUNCTIONS"
"CHL-DC-COMPOSITE","Proyecto de data center — mapa compuesto de stakeholders","Infraestructura digital","composite_stakeholder_route","Desarrollo de un proyecto de data center en Chile","Múltiples organismos","","Conjunto de autorizaciones, conexiones y relaciones sectoriales aplicables","No representa una secuencia legal única. Cada paso es condicional según ubicación, diseño, energía, agua, telecomunicaciones y exigencias ambientales/urbanísticas.","SRC-MULTI"
