"actor","institution_id","actor_type","route_count","stage_count","route_ids","last_verified"
"Dirección General de Aguas","CL-SP-148","water_authority","3","3","CHL-DC-COMPOSITE;CHL-WATER-RIGHT;CHL-WATER-WORKS","2026-09-19"
"Servicio de Evaluación Ambiental","CL-SP-136","public_body","3","4","CHL-DC-COMPOSITE;CHL-ENV-PAS;CHL-ENV-SEIA","2026-09-19"
"Titular del proyecto","","private_actor","3","3","CHL-ELEC-GRID;CHL-ENV-PAS;CHL-ENV-SEIA","2026-09-19"
"Coordinador Eléctrico Nacional","","system_operator","2","3","CHL-DC-COMPOSITE;CHL-ELEC-GRID","2026-09-19"
"Dirección de Obras Municipales competente","","municipal_unit","2","2","CHL-DC-COMPOSITE;CHL-URB-BUILD","2026-09-19"
"InvestChile","CL-SP-006","investment_promotion_agency","2","2","CHL-DC-COMPOSITE;CHL-FDI-SUPPORT","2026-09-19"
"Solicitante","","private_actor","2","2","CHL-COAST-CONCESSION;CHL-WATER-RIGHT","2026-09-19"
"Subsecretaría de Telecomunicaciones","CL-SUB-SUBTEL","sector_regulator","2","2","CHL-DC-COMPOSITE;CHL-TEL-AUTH","2026-09-19"
"Superintendencia de Electricidad y Combustibles","CL-SP-135","regulator","2","2","CHL-DC-COMPOSITE;CHL-ELEC-SEC","2026-09-19"
"Agencia Nacional de Ciberseguridad","CL-SUP-ANCI","cyber_regulator","1","1","CHL-CYBER-OIV","2026-09-19"
"Autoridad ambiental competente","","decision_body","1","1","CHL-ENV-SEIA","2026-09-19"
"Autoridad competente en concesiones marítimas","","decision_body","1","1","CHL-COAST-CONCESSION","2026-09-19"
"Autoridad sectorial competente","","decision_body","1","1","CHL-TEL-AUTH","2026-09-19"
"Comisión para el Mercado Financiero","CL-SUP-CMF","financial_regulator","1","2","CHL-FIN-SUP","2026-09-19"
"Consejo de Monumentos Nacionales","","decision_body","1","1","CHL-HERITAGE-ARCH","2026-09-19"
"Consumidores y organizaciones interesadas","","public_participant","1","1","CHL-CONSUMER-PVC","2026-09-19"
"Corporación Nacional Forestal (CONAF)","","forest_authority","1","2","CHL-FOREST-NATIVE","2026-09-19"
"Dirección General de Concesiones de Obras Públicas","","ppp_authority","1","2","CHL-MOP-CONCESSION","2026-09-19"
"Entidad compradora","","public_buyer","1","2","CHL-PROCURE","2026-09-19"
"Entidad financiera o de mercado regulada","","regulated_actor","1","1","CHL-FIN-SUP","2026-09-19"
"Fiscalía Nacional Económica","CL-SP-039","competition_authority","1","2","CHL-MERGER","2026-09-19"
"Instalador o profesional autorizado","","licensed_private_actor","1","1","CHL-ELEC-SEC","2026-09-19"
"Inversionista extranjero","","private_actor","1","1","CHL-FDI-SUPPORT","2026-09-19"
"Investigador / titular habilitado","","private_actor","1","1","CHL-HERITAGE-ARCH","2026-09-19"
"Mercado Público / ChileCompra","CL-SP-034","platform_administrator","1","1","CHL-PROCURE","2026-09-19"
"Ministerio de Obras Públicas","","decision_body","1","1","CHL-MOP-CONCESSION","2026-09-19"
"Ministerio de Obras Públicas / Consejo de Concesiones según corresponda","","public_body","1","1","CHL-MOP-CONCESSION","2026-09-19"
"Ministerio de Vivienda y Urbanismo","CL-MIN-MINVU","public_body","1","1","CHL-URB-BUILD","2026-09-19"
"Operador de Importancia Vital","","regulated_actor","1","2","CHL-CYBER-OIV","2026-09-19"
"Órgano sectorial competente","","sector_authority","1","1","CHL-ENV-PAS","2026-09-19"
"Órganos de la Administración del Estado con Competencia Ambiental","","multi_agency","1","1","CHL-ENV-SEIA","2026-09-19"
"Partes de la operación","","private_actor","1","2","CHL-MERGER","2026-09-19"
"Propietario / profesionales competentes","","private_actor","1","1","CHL-URB-BUILD","2026-09-19"
"Propietario de instalación de conexión / actores técnicos","","regulated_actor","1","1","CHL-ELEC-GRID","2026-09-19"
"Proponente público o privado","","public_or_private_actor","1","1","CHL-MOP-CONCESSION","2026-09-19"
"Secretaría Técnica del Consejo de Monumentos Nacionales","","heritage_authority","1","1","CHL-HERITAGE-ARCH","2026-09-19"
"SEREMI de Salud competente","","health_authority","1","2","CHL-HEALTH-FOOD","2026-09-19"
"SERNAC / empresa / asociación de consumidores","","mixed","1","1","CHL-CONSUMER-PVC","2026-09-19"
"SERNAC / empresa / participantes","","mixed","1","1","CHL-CONSUMER-PVC","2026-09-19"
"SERNAC y participantes","","mixed","1","1","CHL-CONSUMER-PVC","2026-09-19"
"Servicio Nacional de Geología y Minería","CL-SP-130","mining_regulator","1","1","CHL-MIN-PROJ","2026-09-19"
"Solicitante / operador","","private_actor","1","1","CHL-TEL-AUTH","2026-09-19"
"Subsecretaría de Pesca y Acuicultura","CL-SUB-PESCA","aquaculture_authority","1","2","CHL-AQUA-TECH","2026-09-19"
"Subsecretaría para las Fuerzas Armadas","CL-SUB-FFAA","sector_authority","1","1","CHL-COAST-CONCESSION","2026-09-19"
"Titular / empresa","","private_actor","1","1","CHL-HEALTH-FOOD","2026-09-19"
"Titular / propietario","","private_actor","1","1","CHL-FOREST-NATIVE","2026-09-19"
"Titular / solicitante","","private_actor","1","1","CHL-WATER-WORKS","2026-09-19"
"Titular acuícola","","private_actor","1","1","CHL-AQUA-TECH","2026-09-19"
"Titular minero","","private_actor","1","1","CHL-MIN-PROJ","2026-09-19"
