"from_route_id","to_route_id","relationship_type","relationship_note","requirement","last_verified"
"CHL-DC-COMPOSITE","CHL-URB-BUILD","may_activate","Urban/building permissions may apply depending on site and works.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-ENV-SEIA","may_activate","Environmental assessment applies only when the project falls under SEIA entry rules.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-ENV-PAS","may_activate","PAS may apply if the project enters SEIA and a listed sectoral permit is required.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-ELEC-GRID","may_activate","Grid connection route applies where interconnection procedures are triggered.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-ELEC-SEC","may_activate","SEC declarations may apply to electrical installations.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-WATER-RIGHT","may_activate","Water rights may be relevant depending on water sourcing.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-WATER-WORKS","may_activate","Hydraulic works permissions may apply to project design.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-TEL-AUTH","may_activate","Telecom authorizations apply only to regulated telecom activities.","conditional","2026-09-19"
"CHL-DC-COMPOSITE","CHL-HERITAGE-ARCH","may_activate","Archaeological authorization may be required where interventions affect archaeological heritage.","conditional","2026-09-19"
"CHL-ENV-SEIA","CHL-ENV-PAS","contains_if_applicable","PAS environmental content is reviewed through SEIA when the permit applies to a submitted project.","conditional","2026-09-19"
"CHL-ENV-PAS","CHL-WATER-WORKS","may_overlap","Some water-related authorizations can have environmental and sectoral components.","conditional","2026-09-19"
"CHL-MOP-CONCESSION","CHL-ENV-SEIA","may_co_occur","A concession project may independently require environmental assessment.","conditional","2026-09-19"
"CHL-MOP-CONCESSION","CHL-HERITAGE-ARCH","may_co_occur","Heritage authorization may become relevant during project development or works.","conditional","2026-09-19"
"CHL-COAST-CONCESSION","CHL-ENV-SEIA","may_co_occur","Use of maritime/coastal space and environmental assessment are separate regimes that may both apply.","conditional","2026-09-19"
"CHL-AQUA-TECH","CHL-ENV-SEIA","may_co_occur","Aquaculture technical approval does not replace environmental assessment when SEIA applies.","conditional","2026-09-19"
"CHL-FOREST-NATIVE","CHL-ENV-SEIA","may_co_occur","Forest authorization does not replace environmental assessment when SEIA applies.","conditional","2026-09-19"
